DivisionName,CreationDate,textbox2,textbox4,PricewithDiscount,sumWeight,Textbox14,textbox5,PricewithDiscount1,sumWeight1
АСТРАХАНЬ,13.02.2021,,,,,300,"294 694,69","159 059,23","916,85"
АСТРАХАНЬ,14.02.2021,,,,,185,"232 693,26","121 821,43","1073,21"
АСТРАХАНЬ,15.02.2021,12,"16 140,96","11 308,45","9,98",3545,"3 990 950,05","2 822 111,89","9054,02"
АСТРАХАНЬ,16.02.2021,6,"8 244,72","5 228,03","1,25",3665,"3 712 329,56","2 761 120,47","7860,97"
АСТРАХАНЬ,17.02.2021,6,"9 325,15","6 724,90","7,11",3221,"3 437 164,11","2 582 923,12","7286,01"
АСТРАХАНЬ,18.02.2021,5,"5 703,26","4 585,36","5,46",3317,"3 601 028,28","2 621 546,50","8063,76"
АСТРАХАНЬ,19.02.2021,8,"5 798,10","4 865,60","9,77",3491,"4 193 909,34","3 182 098,82","12949,70"
АСТРАХАНЬ,20.02.2021,1,"1 049,00","314,70","0,10",2222,"2 443 982,10","1 767 092,08","6236,62"
АСТРАХАНЬ,21.02.2021,,,,,94,"102 979,70","64 078,57","862,67"
АСТРАХАНЬ,22.02.2021,,,,,135,"189 388,89","134 220,90","711,78"
АСТРАХАНЬ,23.02.2021,,,,,182,"289 544,98","146 444,78","657,71"
АСТРАХАНЬ,24.02.2021,11,"13 401,48","9 257,63","5,07",3791,"4 155 674,04","3 060 703,53","9504,86"
АСТРАХАНЬ,25.02.2021,8,"15 771,10","10 430,51","35,70",4005,"4 197 883,82","3 048 461,47","10063,78"
АСТРАХАНЬ,26.02.2021,6,"7 005,55","5 153,76","4,21",3923,"4 372 380,84","3 262 106,20","18305,83"
АСТРАХАНЬ,27.02.2021,,,,,230,"227 671,94","124 139,25","909,26"
АСТРАХАНЬ,28.02.2021,,,,,134,"143 346,27","107 612,60","711,00"
БАРНАУЛ,01.02.2021,,,,,3525,"4 017 060,79","3 086 523,40","7559,22"
БАРНАУЛ,02.02.2021,6,"5 507,00","3 408,95","3,47",3920,"4 290 014,12","3 159 794,75","7989,82"
БАРНАУЛ,03.02.2021,2,"2 618,90","1 594,42","0,40",3671,"3 902 609,45","2 879 357,23","7921,78"
БАРНАУЛ,04.02.2021,11,"5 760,00","3 878,61","9,52",4051,"4 083 924,05","2 876 229,86","10036,64"
БАРНАУЛ,05.02.2021,5,"6 717,02","6 222,47","2,15",4240,"4 197 433,60","3 188 895,92","7769,89"
БАРНАУЛ,06.02.2021,2,"1 623,68","568,29","1,00",284,"199 947,80","110 782,76","699,25"
БАРНАУЛ,07.02.2021,,,,,205,"216 987,78","149 305,20","1078,95"
БАРНАУЛ,08.02.2021,4,"4 025,40","2 912,92","6,80",3419,"3 055 828,95","2 150 854,84","8595,76"
БАРНАУЛ,09.02.2021,3,"3 187,00","2 942,30","2,54",3764,"3 943 590,97","2 904 738,55","6915,60"
БАРНАУЛ,10.02.2021,3,"4 492,00","2 239,25","36,80",3556,"3 774 267,47","2 694 716,58","8195,63"
БАРНАУЛ,11.02.2021,7,"6 339,28","4 752,00","4,52",3430,"3 510 806,01","2 561 886,42","6278,32"
БАРНАУЛ,12.02.2021,2,"2 847,56","1 845,36","0,85",3170,"3 694 458,78","2 663 795,69","6910,90"
БАРНАУЛ,13.02.2021,2,"1 623,68","568,29","0,75",300,"294 694,69","159 059,23","916,85"
БАРНАУЛ,14.02.2021,,,,,185,"232 693,26","121 821,43","1073,21"
БАРНАУЛ,15.02.2021,2,"894,00","427,25","12,28",3545,"3 990 950,05","2 822 111,89","9054,02"
БАРНАУЛ,16.02.2021,,,,,3665,"3 712 329,56","2 761 120,47","7860,97"
БАРНАУЛ,17.02.2021,,,,,3221,"3 437 164,11","2 582 923,12","7286,01"
БАРНАУЛ,18.02.2021,2,"2 200,40","970,99","0,75",3317,"3 601 028,28","2 621 546,50","8063,76"
БАРНАУЛ,19.02.2021,3,"6 809,60","6 095,25","24,49",3491,"4 193 909,34","3 182 098,82","12949,70"
